Time (Sec);S1;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S3;S30;S31;S32;S33;S5;S7;S9;
1.6066666666666356;19160.0;999.9717320000035;999.9652256000036;999.9685288000036;999.9717320000036;999.9717320000036;999.9717320000036;999.9685288000036;999.9683000000036;999.9683000000036;999.9717320000036;999.9751640000036;999.9751640000036;999.9717320000036;999.9719768000036;999.9751640000036;999.9717320000036;999.9683000000036;999.9683000000036;999.9758664000036;999.9724344000036;999.9754088000036;
1.7056666666666307;19160.0;999.9708320000037;999.9643256000038;999.9676288000038;999.9708320000038;999.9708320000038;999.9708320000038;999.9676288000038;999.9674000000039;999.9674000000039;999.9708320000038;999.9742640000038;999.9742640000038;999.9708320000038;999.9710768000039;999.9742640000038;999.9708320000038;999.9674000000039;999.9674000000039;999.9749664000038;999.9715344000039;999.9745088000038;
1.8046666666666258;19160.0;999.969932000004;999.963425600004;999.966728800004;999.9699320000041;999.9699320000041;999.9699320000041;999.966728800004;999.9665000000041;999.9665000000041;999.9699320000041;999.973364000004;999.973364000004;999.9699320000041;999.9701768000041;999.973364000004;999.9699320000041;999.9665000000041;999.9665000000041;999.9740664000041;999.9706344000041;999.9736088000041;
1.903666666666621;19160.0;999.9690320000042;999.9625256000043;999.9658288000043;999.9690320000043;999.9690320000043;999.9690320000043;999.9658288000043;999.9656000000043;999.9656000000043;999.9690320000043;999.9724640000043;999.9724640000043;999.9690320000043;999.9692768000043;999.9724640000043;999.9690320000043;999.9656000000043;999.9656000000043;999.9731664000043;999.9697344000043;999.9727088000043;
2.002666666666616;19160.0;999.9681320000044;999.9616256000045;999.9649288000045;999.9681320000045;999.9681320000045;999.9681320000045;999.9649288000045;999.9647000000045;999.9647000000045;999.9681320000045;999.9715640000045;999.9715640000045;999.9681320000045;999.9683768000045;999.9715640000045;999.9681320000045;999.9647000000045;999.9647000000045;999.9722664000045;999.9688344000045;999.9718088000045;
2.1016666666666133;19160.0;999.9672320000046;999.9607256000047;999.9640288000047;999.9672320000047;999.9672320000047;999.9672320000047;999.9640288000047;999.9638000000048;999.9638000000048;999.9672320000047;999.9706640000047;999.9706640000047;999.9672320000047;999.9674768000048;999.9706640000047;999.9672320000047;999.9638000000048;999.9638000000048;999.9713664000047;999.9679344000048;999.9709088000047;
2.2006666666666104;19160.0;999.9663320000049;999.9598256000049;999.9631288000049;999.966332000005;999.966332000005;999.966332000005;999.9631288000049;999.962900000005;999.962900000005;999.966332000005;999.969764000005;999.969764000005;999.966332000005;999.966576800005;999.969764000005;999.966332000005;999.962900000005;999.962900000005;999.970466400005;999.967034400005;999.970008800005;
2.300666666666607;19160.0;999.9654320000051;999.9589256000052;999.9622288000052;999.9654320000052;999.9654320000052;999.9654320000052;999.9622288000052;999.9620000000052;999.9620000000052;999.9654320000052;999.9688640000052;999.9688640000052;999.9654320000052;999.9656768000052;999.9688640000052;999.9654320000052;999.9620000000052;999.9620000000052;999.9695664000052;999.9661344000052;999.9691088000052;
2.4003399999999373;19160.0;999.9645320000053;999.9580256000054;999.9612288000054;999.9645320000054;999.9645320000054;999.9645320000054;999.9613288000054;999.9611000000054;999.9611000000054;999.9645320000054;999.9679640000054;999.9679640000054;999.9645320000054;999.9647768000054;999.9679640000054;999.9645320000054;999.9610000000055;999.9611000000054;999.9686664000054;999.9652344000054;999.9682088000054;
2.5003399999999307;19160.0;999.9635320000056;999.9571256000056;999.9603288000056;999.9635320000057;999.9635320000057;999.9635320000057;999.9603288000056;999.9601000000057;999.9601000000057;999.9635320000057;999.9670640000056;999.9670640000056;999.9635320000057;999.9637768000057;999.9670640000056;999.9635320000057;999.9601000000057;999.9601000000057;999.9677664000056;999.9642344000057;999.9673088000056;
2.6006666666665903;19160.0;999.9626320000058;999.9562256000058;999.9594288000059;999.9626320000059;999.9626320000059;999.9626320000059;999.9594288000059;999.9592000000059;999.9592000000059;999.9626320000059;999.9660640000059;999.9660640000059;999.9626320000059;999.9628768000059;999.9660640000059;999.9626320000059;999.9592000000059;999.9592000000059;999.9667664000059;999.9633344000059;999.9663088000059;
2.7066666666665835;19160.0;999.961732000006;999.9552256000061;999.9585288000061;999.9617320000061;999.9617320000061;999.9617320000061;999.9585288000061;999.9583000000061;999.9583000000061;999.9617320000061;999.9651640000061;999.9651640000061;999.9617320000061;999.9619768000061;999.9651640000061;999.9617320000061;999.9583000000061;999.9583000000061;999.9658664000061;999.9624344000061;999.9654088000061;
2.8056666666665766;19160.0;999.9608320000062;999.9543256000063;999.9576288000063;999.9608320000063;999.9608320000063;999.9608320000063;999.9576288000063;999.9574000000064;999.9574000000064;999.9608320000063;999.9642640000063;999.9642640000063;999.9608320000063;999.9610768000064;999.9642640000063;999.9608320000063;999.9574000000064;999.9574000000064;999.9649664000063;999.9615344000064;999.9645088000063;
2.90466666666657;19160.0;999.9599320000065;999.9534256000065;999.9567288000065;999.9599320000066;999.9599320000066;999.9599320000066;999.9567288000065;999.9565000000066;999.9565000000066;999.9599320000066;999.9633640000065;999.9633640000065;999.9599320000066;999.9601768000066;999.9633640000065;999.9599320000066;999.9565000000066;999.9565000000066;999.9640664000066;999.9606344000066;999.9636088000066;
3.0036666666665637;19160.0;999.9590320000067;999.9525256000068;999.9558288000068;999.9590320000068;999.9590320000068;999.9590320000068;999.9558288000068;999.9556000000068;999.9556000000068;999.9590320000068;999.9624640000068;999.9624640000068;999.9590320000068;999.9592768000068;999.9624640000068;999.9590320000068;999.9556000000068;999.9556000000068;999.9631664000068;999.9597344000068;999.9627088000068;
3.1026666666665568;19160.0;999.9581320000069;999.951625600007;999.954928800007;999.958132000007;999.958132000007;999.958132000007;999.954928800007;999.954700000007;999.954700000007;999.958132000007;999.961564000007;999.961564000007;999.958132000007;999.958376800007;999.961564000007;999.958132000007;999.954700000007;999.954700000007;999.962266400007;999.958834400007;999.961808800007;
3.20166666666655;19160.0;999.9572320000071;999.9507256000072;999.9540288000072;999.9572320000073;999.9572320000073;999.9572320000073;999.9540288000072;999.9538000000073;999.9538000000073;999.9572320000073;999.9606640000072;999.9606640000072;999.9572320000073;999.9574768000073;999.9606640000072;999.9572320000073;999.9538000000073;999.9538000000073;999.9613664000073;999.9579344000073;999.9609088000072;
